POP_SIZE = 300
STACK_SIZE = 20
MUTATION_PROBABILITY = 0.4
CROSSOVER_PROBABILITY = 0.4
MAX_GENS = 1_000
FIT_TOL = 1e-3
use_simplification = True
regression_metric = 'mse'
clo_algorithm = 'lm'

Elapsed Time: 9.13min
 FITNESS   COMPLEXITY    EQUATION
9.660e-03      17      f(X_0) = 0.010768645307381816 + (0.08375951370152104)*((X_1 + (-11.27548093458503)*((0.2734952789489305 + X_0)*(X_4 - ((X_2)*(X_2)))))*(X_1 + (-11.27548093458503)*((0.2734952789489305 + X_0)*(X_4 - ((X_2)*(X_2))))))
1.059e-02      16      f(X_0) = 0.016875219435164974 + (0.00961386649458292)*((X_2 + (-36.980970082190765)*((0.24739940902967167 + X_0)*(X_4 - ((X_2)*(X_2)))))*(X_2 + (-36.980970082190765)*((0.24739940902967167 + X_0)*(X_4 - ((X_2)*(X_2))))))
1.064e-02      14      f(X_0) = 0.011713412690760984 + (12.907148661153569)*(((0.24684815757305043 + X_0)*(0.24684815757305043 + X_0))*((X_4 - ((X_2)*(X_2)))*(X_4 - ((X_2)*(X_2)))))
1.129e-02      13      f(X_0) = (0.46217770268526803 + (1.7414277101767006)*(X_0) - (X_1))*(0.7527352101967223 + (-2.1167175137187497)*(X_2))
1.276e-02      12      f(X_0) = (0.2805558577561599 + X_0)*(X_4) + (24.980656271595404)*(((0.2805558577561599 + X_0)*(X_4))*((0.2805558577561599 - (X_4))*((0.2805558577561599 + X_0)*(X_4) - (0.2805558577561599 + X_0))))
1.303e-02      11      f(X_0) = -0.015726422016713038 + ((-0.9098334837194398 + (-3.2320968496450537)*(X_0))*(-0.9098334837194398 + (-3.2320968496450537)*(X_0)))*((X_4)*(X_4))
1.633e-02      10      f(X_0) = -0.5232140507007175 + (2.107863724672228)*((X_4)*(1.2678158708814757 + X_0 - (X_4)))
1.685e-02      9      f(X_0) = (1.042466632207044 + (3.9558269722743584)*(X_0))*(0.3416667520080178 - (X_2))
1.730e-02      8      f(X_0) = (X_4)*(X_4 + (X_0)*((4.645672982601354 + X_0)*(X_4)))
1.825e-02      7      f(X_0) = (X_4)*(X_4 + (4.645672982601354)*((X_0)*(X_4)))
2.125e-02      6      f(X_0) = (-0.05954996452802282 + X_0 + X_4)*(-0.05954996452802282 + X_0 + X_4)
2.370e-02      4      f(X_0) = (X_0 + X_4)*(X_0 + X_4)
3.415e-02      3      f(X_0) = 0.3529579365079365 - (X_2)
4.338e-02      2      f(X_0) = (X_3)*(X_3)
4.414e-02      1      f(X_0) = 0.1424023809471464

Elapsed Time: 8.59min
 FITNESS   COMPLEXITY    EQUATION
