POP_SIZE = 300
STACK_SIZE = 20
MUTATION_PROBABILITY = 0.4
CROSSOVER_PROBABILITY = 0.4
MAX_GENS = 5_000
FIT_TOL = 1e-3
simplification = True
regression_metric = 'mse'
clo_algorithm = 'BFGS'

Elapsed Time: 113.76min
Generation:  5000
Best individual
 f(X_0) = -0.04682868733019648 + (0.6114421450026477 + (-0.49098355855583314)(X_1) + (5.768569873050771 + (9.052878475181974 + X_0)(X_1))(X_5) - (X_2))(0.6114421450026477 + (-0.49098355855583314)(X_1) + (5.768569873050771 + (9.052878475181974 + X_0)(X_1))(X_5) - (X_2))
 FITNESS   COMPLEXITY    EQUATION
6.978e-03      19      f(X_0) = -0.04682868733019648 + (0.6114421450026477 + (-0.49098355855583314)(X_1) + (5.768569873050771 + (9.052878475181974 + X_0)(X_1))(X_5) - (X_2))(0.6114421450026477 + (-0.49098355855583314)(X_1) + (5.768569873050771 + (9.052878475181974 + X_0)(X_1))(X_5) - (X_2))
6.995e-03      18      f(X_0) = -0.04682868733019648 + (0.6114421450026477 + (-0.49098355855583314)(X_1) + (X_5)(5.768569873050771 + (X_1)(9.052878475181974 + X_5)) - (X_2))(0.6114421450026477 + (-0.49098355855583314)(X_1) + (X_5)(5.768569873050771 + (X_1)(9.052878475181974 + X_5)) - (X_2))
7.005e-03      17      f(X_0) = -0.04682868733019648 + (0.6114421450026477 + (-0.49098355855583314)(X_1) + (5.768569873050771 + (9.052878475181974)(X_1))(X_5) - (X_2))(0.6114421450026477 + (-0.49098355855583314)(X_1) + (5.768569873050771 + (9.052878475181974)(X_1))(X_5) - (X_2))
7.430e-03      16      f(X_0) = -0.04682857547288344 + (0.6114419590551691 + (-0.4909837136594712)(X_1) + (5.7685688321161654 + (5.7685688321161654)(X_1))(X_5) - (X_2))(0.6114419590551691 + (-0.4909837136594712)(X_1) + (5.7685688321161654 + (5.7685688321161654)(X_1))(X_5) - (X_2))
8.164e-03      15      f(X_0) = -0.03326571786097706 + (0.6110716584203432 + (-0.39507435736547925)(X_1) + (4.768645949720097 + X_1)(X_5) - (X_2))(0.6110716584203432 + (-0.39507435736547925)(X_1) + (4.768645949720097 + X_1)(X_5) - (X_2))
8.253e-03      14      f(X_0) = (1.6805890300774728)((0.47916552705767573 + (-0.31165844900341866)(X_1) + (3.645764483792379)(X_5) - (X_2))(0.47916552705767573 + (-0.31165844900341866)(X_1) + (3.645764483792379)(X_5) - (X_2)))
9.494e-03      13      f(X_0) = (-0.369142835413248 + X_2 - (X_5))(-0.9997255527196641 + X_1 + (-13.209943260276589 + X_1)(X_5))
9.498e-03      12      f(X_0) = (-0.369142835413248 + X_2 - (X_5))(-0.9997255527196641 + X_1 + (-13.209943260276589)(X_5))
1.123e-02      11      f(X_0) = ((0.1350202295317374 + X_7)(0.1350202295317374 + X_7))(-19.687220156350254 + (80.66888399441635)(X_3) - (X_7))
1.178e-02      10      f(X_0) = (-0.10600066325478429 + X_4 + (6.745378712804125)(X_5))(0.06759269899911735 + X_4 + (6.745378712804125)(X_5))
1.237e-02      8      f(X_0) = (-0.08686968933990953 + X_4 + (3.6257093028489984)(X_7))(-0.08686968933990953 + X_4 + (3.6257093028489984)(X_7))
1.485e-02      7      f(X_0) = (X_4 + (12.625507596666012)(X_5))(X_6)
1.544e-02      6      f(X_0) = (1.9799619285413428)((X_5 + X_6)(X_5 + X_6))
1.728e-02      4      f(X_0) = (2.249282261638143)((X_6)(X_6))
2.121e-02      3      f(X_0) = -0.04990879251909064 + X_6
2.370e-02      1      f(X_0) = X_6
