C_1,C_2,h,r_0,Phi,RB,,
-0.3,-0.3,0.05,0.39,0.53,"0
",,r_0 never makes an effect
-0.3,-0.2,0.05,0.42,0.6,"0
",,h and phi give same effect
-0.3,-0.1,0.05,0.45,0.68,"0
",,"try just using C_1, C_2, h"
-0.3,0,0.05,0.47,0.73,"0
",,"of C_1, C_2, PHI"
-0.3,0.1,0.05,0.46,0.69,"0
",,try using cosh and sinh instead of cos and sin
-0.3,0.2,0.05,0.43,0.62,"0
",,
-0.3,0.3,0.05,0.41,0.57,"0
",,
-0.2,-0.3,0.05,0.4,0.52,"0.0456
",,
-0.2,-0.2,0.05,0.43,0.6,"0
",,
-0.2,-0.1,0.05,0.47,0.7,"0
",,
-0.2,0,0.05,0.5,0.8,"0
",,
-0.2,0.1,0.05,0.49,0.77,"0
",,
-0.2,0.2,0.05,0.46,0.7,"0
",,
-0.2,0.3,0.05,0.43,0.62,"0
",,
-0.1,-0.3,0.05,0.4,0.52,"0.1211
",,
-0.1,-0.2,0.05,0.43,0.59,"0.0269
",,
-0.1,-0.1,0.05,0.47,0.69,"0
",,
-0.1,0,0.05,0.51,0.83,"0
",,
-0.1,0.1,0.05,0.48,0.72,"0
",,
-0.1,0.2,0.05,0.43,0.6,"0
",,
-0.1,0.3,0.05,0.4,0.52,"0
",,
0,-0.3,0.05,0.39,0.51,"0.2255
",,
0,-0.2,0.05,0.43,0.58,"0.2109
",,
0,-0.1,0.05,0.46,0.67,"0.2045
",,
0,0,0.05,0.48,0.71,"0.4468
",,
0,0.1,0.05,0.43,0.59,"0.2336
",,
0,0.2,0.05,0.4,0.5,"0
",,
0,0.3,0.05,0.37,0.44,"0
",,
0.1,-0.3,0.05,0.39,0.5,"0.3491
",,
0.1,-0.2,0.05,0.42,0.56,"0.3958
",,
0.1,-0.1,0.05,0.45,0.63,"0.5329
",,
0.1,0,0.05,0.43,0.59,"0.8318
",,
0.1,0.1,0.05,0.4,0.5,"0.5980
",,
0.1,0.2,0.05,0.37,0.43,"0.4112
",,
0.1,0.3,0.05,0.34,0.38,"0.2509
",,
0.2,-0.3,0.05,0.38,0.49,"0.4672
",,
0.2,-0.2,0.05,0.41,0.54,"0.5736
",,
0.2,-0.1,0.05,0.43,0.58,"0.8240
",,
0.2,0,0.05,0.4,0.5,"0.8599
",,
0.2,0.1,0.05,0.37,0.43,"0.6819
",,
0.2,0.2,0.05,0.34,0.38,"0.5863
",,
0.2,0.3,0.05,0.32,0.34,"0.5222
",,
0.3,-0.3,0.05,0.37,0.48,"0.5946
",,
